Municípios,Densidade Empresarial,Renda,Educação,Valores Solidários - programas e ações,Tecido Social,Tecido Empresarial,Articulação,Gestão Pública,Participação e Controle Social,Vantagens Locais,Organização Produtiva,Comércio Internacional
São Roque,0.243083883,0.684446491,0.826047591,0,0.005593996,0.00040032,0,0.48350785,0.433015873,0.325768789,0.512116166,0.091333937
São Sebastião,0.247277014,0.66822733,0.841365199,0.571428571,0.010249795,0.000800641,0,0.853600031,0.418253968,0.336149439,0.497619195,0.0848508
São Sebastião da Grama,0.345279845,0.586165299,0.763635675,0,0.000422188,0,0.083333333,0.689999484,0.413174603,0.371463186,0.469860386,0.06779201
São Simão,0.328415142,0.642901823,0.836137323,0,0.000457371,0,0.166666667,0.667648474,0.464047619,0.413133675,0.486124774,0.06779201
São Vicente,0.16243795,0.64021185,0.834159669,0.857142857,0.026902779,0.00020016,0,0.706081474,0.452539683,0.381209781,0.509941892,0.110027099
Sarapuí,0.361733253,0.579526808,0.745747567,0,0.000222822,0,0.083333333,0.613319021,0.300079365,0.31576646,0.468042219,0.06779201
Sarutaiá,0.32960944,0.57796644,0.716710049,0,0.000703647,0,0.916666667,0.450370264,0.437301587,0.342400958,0.38737951,0.06779201
Sebastianópolis do Sul,0.722920153,0.683605347,0.835214913,0,0.0000235,0,0,0.626364728,0.426984127,0.411305636,0.200232584,0.06779201
Serra Azul,0.156398214,0.586437167,0.736440951,0,0.000117275,0,0.166666667,0.365334551,0.233174603,0.30439561,0.470803986,0.06779201
Serra Negra,0.40385024,0.693092286,0.79178564,1,0.00243931,0.00040032,0.416666667,0.708145695,0.351984127,0.395936495,0.486793639,0.06779201
Serrana,0.269365778,0.630590063,0.795967133,0.285714286,0.001067198,0,0.083333333,0.588832226,0.486269841,0.387859516,0.433574987,0.06779201
Sertãozinho,0.29022591,0.701635106,0.838450578,0,0.004667527,0.01561249,0.083333333,0.841581972,0.421825397,0.418244055,0.555616926,0.193237387
Sete Barras,0.240913186,0.465389343,0.738888139,0.571428571,0.0000235,0,0.25,0.329700167,0.374206349,0.261475228,0.389932128,0.06779201
Severínia,0.213957759,0.627032381,0.773444488,0.714285714,0.000140729,0,0,0.607150731,0.323888889,0.355839064,0.463049987,0.06779201
Silveiras,0.197902364,0.482008617,0.704806089,0,0.0000704,0,0,0.369647227,0.260396825,0.286156484,0.444988659,0.06779201
Socorro,0.279646341,0.639857608,0.791770363,0.857142857,0.003529964,0.000800641,0.333333333,0.825825629,0.146984127,0.354805251,0.505342066,0.06779201
Sorocaba,0.292581943,0.738999783,0.867475483,1,0.032696142,0.011809448,0.166666667,0.856695711,0.76984127,0.428459158,0.6767889,0.22123231
Sud Mennucci,0.294411189,0.657796349,0.843118345,0.571428571,0.000152457,0,0.166666667,0.5116661,0.173174603,0.373530077,0.446952682,0.06779201
Sumaré,0.221149707,0.661393215,0.828598269,0,0.006919198,0,0.083333333,0.754273865,0.464761905,0.394802803,0.565571778,0.234012648
Suzanápolis,0.190698569,0.551287008,0.813888845,0,0.0000117,0,0.083333333,0.498397055,0.450079365,0.335371944,0.178138798,0.06779201
Suzano,0.227590352,0.58902114,0.827746294,0.857142857,0.019936672,0,0.833333333,0.71230898,0.69515873,0.34781581,0.563223851,0.240869701
Tabapuã,0.290580552,0.647713027,0.811254116,0,0.0000469,0.00020016,0,0.653185189,0.433888889,0.396013025,0.475680181,0.06779201
Tabatinga,0.388910413,0.608685483,0.724704533,0,0.000234549,0,0.166666667,0.660146069,0.455396825,0.312047781,0.419888577,0.06779201
Taboão da Serra,0.209056001,0.653781691,0.851762959,0,0.006567374,0.00040032,0,0.841246652,0.746031746,0.371345131,0.554569121,0.14746371
